,car_id,marke,modell,preis,kilometer
6012,da54a307-1be0-4e2f-9b63-b75a8c8d790e,Volkswagen,Golf,18.950 €,72.500 km
6013,5dfdead0-5ba7-4244-96f6-2ad84d94111a,Volkswagen,Golf,14.900 €,93.500 km
6014,87cdf820-0c65-4a6b-91e2-b4ad60420595,Mercedes-Benz,GLA 220,29.879 €,84.848 km
6015,f078932c-afb7-4588-b057-d83e68fdac2e,Volkswagen,Beetle,15.985 €,94.500 km
6016,0c06356e-3c8b-42ca-aa54-657ee988590e,Volkswagen,Golf,12.950 €,84.500 km
6017,48f849b3-1805-4d00-a05b-1187fd0d0348,Mercedes-Benz,E 350,23.332 €,96.850 km
6018,230ac215-ff24-4301-8992-ba35f2c6a265,Mercedes-Benz,E 350,23.332 €,96.850 km
6019,8aad7137-5c24-4d09-91a1-9bbd30051ac0,Volkswagen,Golf,12.950 €,84.500 km
6020,46ece910-2872-4a59-a4c4-1e829c282cb9,Audi,A4,17.990 €,96.500 km
6021,795b4ca2-565a-4f14-9754-5fdf5441febe,Subaru,Outback,43.499 €,50 km
6022,0cc93789-9618-457c-84de-7bfa883018c2,Volkswagen,Golf,17.350 €,98.936 km
6023,51c541cc-3c5b-46fb-a17b-7f4c3dac0c62,Volkswagen,Touran,15.950 €,42.280 km
6024,d1f54f27-be76-4b6e-9044-bd8ec19c3ae1,Volkswagen,Caddy,15.890 €,111.418 km
6025,b613ebcc-43d6-4def-bf3b-218ed0bc116a,Mercedes-Benz,E 200,19.990 €,83.000 km
6026,1ab48816-5cf9-4cf1-9b81-7c1f0627d202,Volkswagen,Passat Variant,15.000 €,100.000 km
6027,e27390bf-a955-4dc5-8535-d40aab0e341a,Volkswagen,Golf,19.790 €,80.284 km
6028,1febc92a-fd9f-470a-8cce-0ec797ae49c0,Volkswagen,Sharan,17.000 €,114.000 km
6029,56084375-6a52-433f-9373-2a4c1c05f6e5,Volkswagen,Golf,16.430 €,88.000 km
6030,0000010e-206f-4797-a494-5c6cffc19352,Volkswagen,Golf,16.490 €,103.000 km
6031,54f5ecf3-06bb-4f5f-8075-0e82b01753f5,Volkswagen,Golf,14.900 €,93.500 km
6032,6403a559-b50e-4ea1-acca-c08c577c0d6c,Volkswagen,Golf,14.900 €,93.500 km
6033,13ebe6da-65b8-4245-868e-1752e5c1d1e5,Audi,A4,17.990 €,96.500 km
6034,0eeafd3b-065b-4112-9056-691d2d02e80f,Mercedes-Benz,B 250,47.389 €,1.899 km
6035,5d0a91b9-6cd2-4dec-8f8a-33f0bf0dac25,Volkswagen,CC,15.500 €,91.000 km
6036,f862c552-2593-48ed-b163-324fb451ece0,Volkswagen,Golf,14.900 €,93.500 km
6037,631ecdca-b89a-44af-8351-b928d166b135,Mercedes-Benz,E 350,23.332 €,96.850 km
6038,74861af9-4200-4e36-b86a-67cf64525f0f,Mercedes-Benz,A 250,24.800 €,81.000 km
6039,e17fd446-c11a-46cb-a1ca-f0b47e45c60d,Volkswagen,Passat Variant,15.000 €,100.000 km
6040,965d8a91-f432-4b46-9ef7-39e345e14dd9,Volkswagen,Golf,26.990 €,99.980 km
6041,db49934d-d19f-42c9-8ce9-293e7aaf0247,Mercedes-Benz,E 350,23.332 €,96.850 km
6042,6dc54948-c5bc-4f16-8863-6c04c5f3ab58,Volkswagen,Golf,14.900 €,93.500 km
6043,209dfe83-9daa-4f2d-9f6f-9d3a88067dbe,Volkswagen,Sharan,17.000 €,114.000 km
6044,9ed49f95-88d1-424b-b279-56d89963a7c2,,,,
6045,73396803-e671-4f57-991a-f774ea0b7409,BMW,530,21.990 €,91.812 km
6046,a048e8a5-10d9-4693-b367-66f8acec0ffb,Volkswagen,Passat Variant,15.000 €,100.000 km
6047,96b852ee-9b9b-4ace-9ffd-ccf4cecd3571,Volkswagen,Golf,18.400 €,99.759 km
6048,df5a3317-4c3b-4351-8e25-2aee23e3e206,Volkswagen,Caddy,15.890 €,111.418 km
6049,6f9203e6-614b-4823-b81f-58694d34e31e,Volkswagen,Golf,26.990 €,99.980 km
6050,ac1743c1-5a9b-4fd1-acba-2c2fc86eab83,Volkswagen,Golf,17.350 €,98.936 km
6051,903399c5-bc45-4bf3-87d2-151bd68d8886,Volkswagen,Golf,12.950 €,84.500 km
6052,0e73eb49-e026-4495-a7cd-076c4c8c3726,Audi,A7,29.990 €,54.169 km
6053,2b86e652-e0d4-43e6-b47e-59f4df1bba92,Volkswagen,Golf,16.490 €,103.000 km
6054,5cabdd78-565c-4a0d-a09e-d5f6cfce2f6e,Mercedes-Benz,E 350,23.332 €,96.850 km
6055,1af0da1a-4931-46af-985c-e1523cdcc538,Volkswagen,Golf,14.900 €,93.500 km
6056,8cc37828-8dd3-46cf-9f19-0f6fc784b6d2,Volkswagen,Golf,10.990 €,81.576 km
6057,345029d6-ff83-4a02-8a74-60e52e5e2832,Volkswagen,Golf,17.350 €,98.936 km
6058,9fbd2de3-63a0-4363-818a-917c90922040,Volkswagen,T5 Transporter,21.900 €,80.500 km
6059,34bf43bf-a59c-49d6-b0e5-525240c12286,Volkswagen,Touareg,23.990 €,93.350 km
6060,69af2138-dd91-411f-acbe-aca27daa96bd,Volkswagen,T-Roc,33.900 €,10.580 km
6061,3cc9e7b5-edda-4018-b58e-8afe01f9dfbf,Mercedes-Benz,GLA 220,29.879 €,84.848 km
6062,527f9fb3-494d-4025-aa40-4a60764376f7,Volkswagen,Golf,26.990 €,99.980 km
6063,23d738df-fc5b-4184-8237-7e389c88e73f,Volkswagen,Beetle,15.985 €,94.500 km
6064,9be37d46-c1ba-4f6f-908c-b68094daabca,Mercedes-Benz,GLA 220,29.879 €,84.848 km
6065,fe27c224-e34f-4b4e-963a-0488ad0ab8d3,BMW,530,21.990 €,91.812 km
6066,2e6e37f3-4014-40c6-b287-b2c58eb36f64,Volkswagen,Golf,15.950 €,85.400 km
6067,b8939012-9ab7-4011-9fa5-381001cb0dde,Volkswagen,Golf,10.990 €,81.576 km
6068,1e787cec-b522-4eb6-b9a8-dc9dd3d86438,Volkswagen,T5 Transporter,21.900 €,80.500 km
6069,389c889d-2700-4e57-83d6-5a26308a87ee,Volkswagen,T5 Transporter,21.900 €,80.500 km
6070,9ef8dac8-642a-4616-a126-6ea3583c59f8,BMW,320,14.749 €,94.505 km
6071,823062b5-fc3d-4416-924e-2c85870c25de,,,,
6072,db85abeb-dd85-4fa2-a64b-bd2cb37a2700,Volkswagen,Golf,12.777 €,91.000 km
6073,450c1e45-cd92-4a04-9c20-c2c40ff446ea,Volkswagen,CC,15.500 €,91.000 km
6074,2f269593-5310-4e86-bf20-940f6b788450,BMW,530,21.990 €,91.812 km
6075,c19dd52c-b998-4115-8ce9-ad2041d936aa,,,,
6076,ab3270a9-539c-416f-b192-8fc0d3b36d08,Volkswagen,CC,15.500 €,91.000 km
6077,173f5f15-5e1a-4fc7-8c77-54c6d003323e,Volkswagen,Golf,14.900 €,93.500 km
6078,871886f3-fd54-4cce-a2af-ef34373d57de,Volkswagen,Golf,10.990 €,81.576 km
6079,5c751afe-3974-49b9-ba0c-3fae95f5f258,Audi,A4,17.990 €,96.500 km
6080,f16e9f59-324c-420f-a00f-48a7534ce54e,Volkswagen,Golf,12.950 €,84.500 km
6081,bcb627d6-bcd3-4a9a-b160-73b84455be7f,Volkswagen,Golf,17.350 €,98.936 km
6082,59cd025c-0740-483d-81ed-d382fe34a524,Mercedes-Benz,GLA 220,29.879 €,84.848 km
6083,8144a167-b4aa-4a3a-acf9-85a903a80e7f,Volkswagen,Golf,16.490 €,103.000 km
