,car_id,erstzulassung,kraftstoffart,getriebe,leistung,hubraum,farbe
2017,97ad0621-2d97-4fbe-ab01-23b0e3b45859,02/2015,Benzin,Automatik,221 kW (300 PS),1.984 cm³,Blau Metallic
2018,8dcd1458-185c-4064-963b-de32b120ca8e,,,,,,
2019,6287d10b-7c2c-4f5a-94a2-15559d2c0792,03/2013,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Schwarz Metallic
2020,15320ffe-d5ae-4dee-866b-9c29313a71fe,05/2012,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Silber Metallic
2021,50a99442-9b27-4487-8287-69f0486304d4,02/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Grau Metallic
2022,78e53ff6-fb46-4bda-ab60-8cc3deb7ab1d,03/2012,Diesel,Automatik,190 kW (258 PS),2.993 cm³,Blau Metallic
2023,da2f86b8-a673-4a9f-83a9-3c4721330b61,04/2017,Diesel,Automatik,130 kW (177 PS),2.143 cm³,Schwarz Metallic
2024,ac819c68-06a4-4cf8-b606-76d677a015e4,11/2011,Diesel,Automatik,135 kW (184 PS),1.995 cm³,Schwarz Metallic
2025,4037bd90-235d-49f5-a5c5-304c19d53ac3,03/2013,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Schwarz Metallic
2026,4da2c324-c667-4d46-8420-a43f20066934,06/2012,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Silber Metallic
2027,40f38b89-9073-4934-b00e-be11f3e6648c,02/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Grau Metallic
2028,dc732ac5-5e7d-4063-b056-9692441954f3,03/2013,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Schwarz Metallic
2029,3c7715d6-0d2d-40c8-baaf-0e6737a83150,01/2013,Diesel,Automatik,185 kW (252 PS),2.987 cm³,Silber Metallic
2030,f9c0ca15-16ca-41e5-b2c7-c1ae1128868d,05/2012,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Silber Metallic
2031,0c4b32bb-5bb9-4503-8009-4a2d939f6424,03/2013,Benzin,Schaltgetriebe,118 kW (160 PS),1.390 cm³,Weiß
2032,db02a2d0-bdf5-46d4-9f6e-68fa093b1c27,01/2011,Diesel,Schaltgetriebe,81 kW (110 PS),1.968 cm³,Schwarz Metallic
2033,8eae5ce4-f810-4e44-914d-7d5a7a356e57,11/2014,Benzin,Schaltgetriebe,110 kW (150 PS),1.395 cm³,Schwarz Metallic
2034,53c1c080-e00b-4f8c-b9d1-e0fa6076ee0c,09/2013,Benzin,Automatik,90 kW (122 PS),1.395 cm³,Blau Metallic
2035,ad79b601-87ea-4ea2-ba16-2e1cd3fabb45,02/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Grau Metallic
2036,98f4d452-9cdd-4a3f-aa4d-0ce136b2a3eb,09/2013,Benzin,Automatik,90 kW (122 PS),1.395 cm³,Blau Metallic
